game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
13ba6b57-7363-4f13-a386-6373321a661f,41,Live Chess,Chess.com,2024.03.22,-,enstein12,abhute23,1-0,1535,,1513,,,,enstein12,1535,abhute23,1513,22,,enstein12 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
0c1b4562-9040-4e14-8c03-812fc3ccf867,42,Live Chess,Chess.com,2024.03.23,-,laurence_roldan,abhute23,0-1,1479,,1520,,,,abhute23,1520,laurence_roldan,1479,41,,abhute23 won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
3cae7aa9-03a4-43f7-8250-fffcc425f70f,43,Live Chess,Chess.com,2024.03.23,-,abhute23,kushalgautam05,0-1,1511,,1495,,,,kushalgautam05,1495,abhute23,1511,-16,,kushalgautam05 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
23aa6155-d8f6-4cc1-940f-2922f9e1d688,44,Live Chess,Chess.com,2024.03.23,-,abhute23,NicolasHV97,0-1,1503,,1503,,,,NicolasHV97,1503,abhute23,1503,0,,NicolasHV97 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
ee47a613-baa4-4412-8153-f57417183c32,45,Live Chess,Chess.com,2024.03.23,-,schachres,abhute23,1-0,1558,,1496,,,,schachres,1558,abhute23,1496,62,,schachres won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
5237e547-7f9d-4c2b-9751-e346123a003e,46,Live Chess,Chess.com,2024.03.23,-,theMinotaurus,abhute23,0-1,1480,,1504,,,,abhute23,1504,theMinotaurus,1480,24,,abhute23 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
120bce45-c40c-47e7-a19d-2e3b9ddc769f,47,Live Chess,Chess.com,2024.03.23,-,abhute23,Thestunners,0-1,1496,,1524,,,,Thestunners,1524,abhute23,1496,28,,Thestunners won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
7b963d2e-0721-4ed2-b753-8bfbe86e4121,48,Live Chess,Chess.com,2024.03.23,-,raulborges24,abhute23,0-1,1505,,1504,,,,abhute23,1504,raulborges24,1505,-1,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
4ffbc7a3-8a1e-4270-a4d1-e3c31fb390ea,49,Live Chess,Chess.com,2024.03.23,-,Transesions,abhute23,1/2-1/2,1523,,1504,,,,draw,,draw,,0,,Game drawn by repetition,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
52ec159f-21bd-4f13-9ca6-3f618e5e41cb,50,Live Chess,Chess.com,2024.03.23,-,abhute23,NH4NO3,0-1,1495,,1478,,,,NH4NO3,1478,abhute23,1495,-17,,NH4NO3 won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
